reporting_date,academic_term_name,partner_id,program_started,program_model,commitment_level,grade_levels,rostered_learners,active_learners,very_active_learners
2023-10-30,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,270,231,20
2023-10-29,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5458,3102,14
2023-09-28,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1338,1281,0
2023-09-09,2023 - 2024 SY,B++Z1VlCM2PfcXMo8HREN1XglSB2P981bhosh3YLrow=,false,,,,2476,1645,3
2023-09-24,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15672,3988,22
2023-09-05,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,36733,6045,290
2023-09-14,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,36388,10596,301
2023-09-12,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52625,6444,120
2023-10-20,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1037,890,9
2023-10-18,2023 - 2024 SY,Z3VI3AL16Qbk7ySD7gS0LXICxFlQ27kJw2wFwLG0i4k=,false,,,,1469,622,0
2023-10-23,2023 - 2024 SY,B++Z1VlCM2PfcXMo8HREN1XglSB2P981bhosh3YLrow=,false,,,,2420,1793,34
2023-10-21,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5457,2982,12
2023-10-04,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15806,4936,32
2023-10-13,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35633,15333,349
2023-10-08,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,93376,38130,369
2023-10-11,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,93450,39498,410
2023-11-01,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,0,0,0
2023-11-13,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5459,3149,23
2023-11-25,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5451,3169,32
2023-11-04,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5460,3141,17
2023-11-16,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12339,3511,95
2023-11-27,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15642,7372,218
2023-11-28,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15642,7452,228
